Data Label,Subsystem,Measurement Location,Measured Parameter,Description,Units
Elec_PowerHeatPumpWH2of2,DHW,Basement,Power_Electrical,Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater,W
Elec_EnergyPlugsBaseAHeliodyneHXs,Elec,Basement,Energy_Electrical,Cumulative energy used by solar water heater pumps from midnight,Wh
Elec_EnergyPlugsDR,Electrical,Dining Room,Energy_Electrical,Cumulative energy consumption at receptacles of dining room from midnight,Wh
Elec_EnergyPlugsBR4,Electrical,Bedroom4,Energy_Electrical,Cumulative energy consumption at receptacles of bedroom 4 from midnight,Wh
Elec_EnergyPlugsEntryHall,Electrical,Entry Hallway,Energy_Electrical,Cumulative energy consumption at receptacles in entry hallway from midnight,Wh
Elec_EnergyPlugsLR,Electrical,Living Room,Energy_Electrical,Cumulative energy consumption at receptacles of living room from midnight,Wh
Elec_EnergyClothesWasher,Electrical,Utility,Energy_Electrical,Cumulative energy consumption of clothes washer from midnight,Wh
Elec_EnergyDryer1of2,Electrical,Utility,Energy_Electrical,Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer,Wh
Elec_EnergyDryer2of2,Electrical,Utility,Energy_Electrical,Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer,Wh
Elec_EnergyPlugsBaseB,Electrical,Basement,Energy_Electrical,Cumulative energy consumption at receptacle B in basement from midnight,Wh
Elec_EnergyPlugsBaseC,Electrical,Basement,Energy_Electrical,Cumulative energy consumption at receptacle C in basement from midnight,Wh
Elec_EnergySumpPump,Electrical,Basement,Energy_Electrical,Cumulative energy consumption of sump pump in basement from midnight,Wh
Elec_EnergySpare1,Electrical ,Basement,Energy_Electrical,Cumulative energy consumption of standby electrical load in basement from midnight,Wh
Elec_EnergyPlugsBA1,Electrical,Bath1,Energy_Electrical,Cumulative energy consumption at receptacles of bathroom 1 from midnight,Wh
Elec_EnergyGarbageDisposal,Electrical ,Kitchen,Energy_Electrical,Cumulative energy consumption by garbage disposal from midnight,Wh
Elec_EnergyPlugsKitRange,Electrical ,Kitchen,Energy_Electrical,Cumulative energy consumption by blender from midnight,Wh
Elec_EnergyPlugsKitPeninsula,Electrical ,Kitchen,Energy_Electrical,Cumulative energy consumption by hand mixer and can opener from midnight,Wh
Elec_EnergyMicrowave,Electrical ,Kitchen,Energy_Electrical,Cumulative energy consumption by microwave oven from midnight,Wh
Elec_EnergyPlugs2ndFloor,Electrical,Bath2,Energy_Electrical,Cumulative energy consumption from receptacles in bathroom 2 from midnight,Wh
Elec_EnergySpare2,Electrical,Basement,Energy_Electrical,Cumulative energy consumption by computer network hardware in basement from midnight,Wh
Elec_EnergyPlugsBR2,Electrical,Bedroom2,Energy_Electrical,Cumulative energy consumption from receptacles in bedroom 2 from midnight,Wh
Elec_EnergyPlugsMBR,Electrical,MBedroom,Energy_Electrical,Cumulative energy consumption from receptacles in master bedroom from midnight,Wh
Elec_EnergyPlugsMBAEast,Electrical,MBath,Energy_Electrical,Cumulative energy consumption from receptacles on east side of master bathroom from midnight,Wh
Elec_EnergyDishwasher,Electrical,Kitchen,Energy_Electrical,Cumulative energy consumption by dishwasher from midnight,Wh
Elec_EnergyPlugsBA2South,Electrical,Bath2,Energy_Electrical,Cumulative energy consumption from receptacles on south side of bathroom 2 from midnight,Wh
Elec_EnergyPlugsMBAWest,Electrical,MBath,Energy_Electrical,Cumulative energy consumption from receptacles on west side of master bathroom from midnight,Wh
Elec_EnergyPlugsBA2North,Electrical,Bath2,Energy_Electrical,Cumulative energy consumption from receptacles on north side of bathroom 2 from midnight,Wh
Elec_EnergyPlugsBR3,Electrical,Bedroom3,Energy_Electrical,Cumulative energy consumption from receptacles in bedroom 3 from midnight,Wh
Elec_EnergyRefrigerator,Electrical,Kitchen,Energy_Electrical,Cumulative energy consumption by refrigerator from midnight,Wh
Elec_EnergyPlugsKitSink,Electrical ,Kitchen,Energy_Electrical,Cumulative energy consumption by toaster from midnight,Wh
Elec_EnergyPlugsDRB,Electrical,Dining Room,Energy_Electrical,Cumulative energy consumption from receptacles in dining room from midnight,Wh
Elec_EnergyPlugsAttic,Electrical,Attic,Energy_Electrical,Cumulative energy consumption from receptacles in attic from midnight,Wh
Elec_PowerPlugsDR,Electrical,Dining Room,Power_Electrical,Instantaneous power used at receptacles of dining room ,W
Elec_PowerPlugsBR4,Electrical,Bedroom4,Power_Electrical,Instantaneous power used at receptacles of bedroom 4 ,W
Elec_PowerPlugsEntryHall,Electrical,Entry Hallway,Power_Electrical,Instantaneous power used at receptacles in entry hallway ,W
Elec_PowerPlugsLR,Electrical,Living Room,Power_Electrical,Instantaneous power used at receptacles of living room ,W
Elec_PowerClothesWasher,Electrical,Utility,Power_Electrical,Instantaneous power used by clothes washer ,W
Elec_PowerDryer1of2,Electrical,Utility,Power_Electrical,Instantaneous power used by one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer,W
Elec_PowerDryer2of2,Electrical,Utility,Power_Electrical,Instantaneous power consumption of one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer,W
Elec_PowerPlugsBaseB,Electrical,Basement,Power_Electrical,Instantaneous power used at receptacle B in basement ,W
Elec_PowerPlugsBaseC,Electrical,Basement,Power_Electrical,Instantaneous power used at receptacle C in basement ,W
Elec_PowerSumpPump,Electrical,Basement,Power_Electrical,Instantaneous power used by sump pump in basement,W
Elec_PowerSpare1,Electrical,Basement,Power_Electrical,Instantaneous power used by standby load in basement,W
Elec_PowerPlugsBA1,Electrical,Bath1,Power_Electrical,Instantaneous power used by receptacles of bathroom 1,W
Elec_PowerGarbageDisposal,Electrical ,Kitchen,Power_Electrical,Instantaneous power consumption by garbage disposal ,W
Elec_PowerPlugsKitRange,Electrical ,Kitchen,Power_Electrical,Instantaneous power consumption by blender ,W
Elec_PowerPlugsKitPeninsula,Electrical ,Kitchen,Power_Electrical,Instantaneous power consumption by mixer and can opener,W
Elec_PowerMicrowave,Electrical ,Kitchen,Power_Electrical,Instantaneous power consumption by microwave oven ,W
Elec_PowerPlugs2ndFloor,Electrical,Bath2,Power_Electrical,Instantaneous power consumption from receptacles in bathroom 2 ,W
Elec_PowerSpare2,Electrical,Basement,Power_Electrical,Instantaneous power consumption by computer network connection in basement,W
Elec_PowerPlugsBR2,Electrical,Bedroom2,Power_Electrical,Instantaneous power consumption from receptacles in bedroom 2 ,W
Elec_PowerPlugsMBR,Electrical,MBedroom,Power_Electrical,Instantaneous power consumption from receptacles in master bedroom ,W
Elec_PowerPlugsMBAEast,Electrical,MBath,Power_Electrical,Instantaneous power consumption from receptacles on east side of master bathroom ,W
Elec_PowerDishwasher,Electrical,Kitchen,Power_Electrical,Instantaneous power consumption by dishwasher ,W
Elec_PowerPlugsBA2South,Electrical,Bath2,Power_Electrical,Instantaneous power consumption from receptacles on south side of bathroom 2 ,W
Elec_PowerPlugsMBAWest,Electrical,MBath,Power_Electrical,Instantaneous power consumption from receptacles on west side of master bathroom ,W
Elec_PowerPlugsBA2North,Electrical,Bath2,Power_Electrical,Instantaneous power consumption from receptacles on north side of bathroom 2 ,W
Elec_PowerPlugsBR3,Electrical,Bedroom3,Power_Electrical,Instantaneous power consumption from receptacles in bedroom 3 ,W
Elec_PowerRefrigerator,Electrical,Kitchen,Power_Electrical,Instantaneous power consumption by refrigerator ,W
Elec_PowerPlugsKitSink,Electrical ,Kitchen,Power_Electrical,Instantaneous power consumption by toaster,W
Elec_PowerPlugsDRB,Electrical,Dining Room,Power_Electrical,Instantaneous power consumption from receptacles in dining room ,W
Elec_PowerPlugsAttic,Electrical,Attic,Power_Electrical,Instantaneous power consumption from receptacles in attic ,W
Elec_EnergyHRV,HVAC,Basement,Energy_Electrical,Cumulative energy consumption of heat recovery ventilator from midnight,Wh
Elec_PowerHRV,HVAC,Basement,Power_Electrical,Instantaneous power consumption of heat recovery ventilator ,W
HVAC_DehumidifierAirflow,HVAC,Basement,Flow_Air,Average airflow through dedicated dehumidifier over the course of the minute,ft3/min
HVAC_DehumidifierExitAirTemp,HVAC,Basement,Temp_Air,Average temperature of air in outlet duct from dedicated dehumidifier over the course of the minute,°F
HVAC_DehumidifierInletAirTemp,HVAC,Basement,Temp_Air,Average temperature of air in inlet duct to dedicated dehumidifier over the course of the minute,°F
HVAC_DehumidifierPower,HVAC,Basement,Power_Electrical,Average power consumption of dedicated dehumidifier over the course of the minute,W
HVAC_HeatPumpIndoorUnitPower,HVAC,Basement,Power_Electrical,"Average power consumption of heat pump indoor unit (blower, controls, resistance heat) over the course of the minute",W
HVAC_HeatPumpOutdoorUnitPower,HVAC ,Outdoor,Power_Electrical,"Average power consumption of heat pump outdoor unit (compressor, fan, controls, defrost) over the course of the minute",W
HVAC_HVACDewpointReturnAir,HVAC,Basement,Temp_DewP,Instantaneous dewpoint temperature of air in return duct prior to indoor unit,°C
HVAC_HVACDewpointSupplyAir,HVAC,Basement,Temp_DewP,Instantaneous dewpoint temperature of air in supply duct after indoor unit,°C
HVAC_HVACTempReturnAir,HVAC,Basement,Temp_Air,Instantaneous dry bulb temperature of air in return duct prior to indoor unit,°C
HVAC_HVACTempSupplyAir,HVAC,Basement,Temp_Air,Instantaneous dry bulb temperature of air in supply duct after indoor unit,°C
IndEnv_BasementRH,IndEnv,Basement,RH,"Relative humidity in basement, on a scale of 0 to 1",
IndEnv_Bedroom2RH,IndEnv,Bedroom2,RH,"Relative humidity in bedroom 2 on second floor, on a scale of 0 to 1",
IndEnv_Bedroom3RH,IndEnv,Bedroom3,RH,"Relative humidity in bedroom 3 on second floor, on a scale of 0 to 1",
IndEnv_KitchenRH,IndEnv,Kitchen,RH,"Relative humidity in kitchen, on a scale of 0 to 1",
IndEnv_LivingRmRH,IndEnv,Living Room,RH,"Relative humidity in living room, on a scale of 0 to 1",
IndEnv_MastBedRmRH,IndEnv,Master Bedroom,RH,"Relative humidity in master bedroom, on a scale of 0 to 1",
IndEnv_MBARH,IndEnv,MBath,RH,"Relative humidity in master bathroom, on a scale of 0 to 1",
IndEnv_RadiantTempBR2,IndEnv,Bedroom2,Temp_Rad,Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 2 on second floor,°C
IndEnv_RadiantTempBR3,IndEnv,Bedroom3,Temp_Rad,Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 3 on second floor,°C
IndEnv_RadiantTempKitchen,IndEnv,Kitchen,Temp_Rad,Instantaneous drybulb temperature within the radiant temperature sensor in the kitchen,°C
IndEnv_RadiantTempLR,IndEnv,Living Room,Temp_Rad,Instantaneous drybulb temperature within the radiant temperature sensor in the living room,°C
IndEnv_RadiantTempMBR,IndEnv,Master Bedroom,Temp_Rad,Instantaneous drybulb temperature within the radiant temperature sensor in the master bedroom,°C
IndEnv_RoomTempAtticNE,IndEnv,Attic,Temp_Air,Instantaneous drybulb temperature in northeast quadrant of attic,°C
IndEnv_RoomTempAtticNW,IndEnv,Attic,Temp_Air,Instantaneous drybulb temperature in northwest quadrant of attic,°C
IndEnv_RoomTempAtticSE,IndEnv,Attic,Temp_Air,Instantaneous drybulb temperature in southeast quadrant of attic,°C
IndEnv_RoomTempAtticSW,IndEnv,Attic,Temp_Air,Instantaneous drybulb temperature in southwest quadrant of attic,°C
IndEnv_RoomTempBA1Temp,IndEnv,Bath1,Temp_Air,Instantaneous drybulb temperature in bathroom 1 on first floor,°C
IndEnv_RoomTempBA2Temp,IndEnv,Bath2,Temp_Air,Instantaneous drybulb temperature in bathroom 2 on second floor,°C
IndEnv_RoomTempBasementNE,IndEnv,Basement,Temp_Air,Instantaneous drybulb temperature in middle of northeast quadrant of basement,°C
IndEnv_RoomTempBasementNW,IndEnv,Basement,Temp_Air,Instantaneous drybulb temperature in middle of northwest quadrant of basement,°C
IndEnv_RoomTempBasementSE,IndEnv,Basement,Temp_Air,Instantaneous drybulb temperature in middle of southeast quadrant of basement,°C
IndEnv_RoomTempBasementSW,IndEnv,Basement,Temp_Air,Instantaneous drybulb temperature in middle of southwest quadrant of basement,°C
IndEnv_RoomTempBR2Temp,IndEnv,Bedroom2,Temp_Air,Instantaneous drybulb temperature in bedroom 2 on second floor,°C
IndEnv_RoomTempBR3Temp,IndEnv,Bedroom3,Temp_Air,Instantaneous drybulb temperature in bedroom 3 on second floor,°C
IndEnv_RoomTempBR4Temp,IndEnv,Bedroom4,Temp_Air,Instantaneous drybulb temperature in bedroom 4,°C
IndEnv_RoomTempDRTemp,IndEnv,Dining Room,Temp_Air,Instantaneous drybulb temperature in dining room,°C
IndEnv_RoomTempHallLowerMid,IndEnv,Entry Hallway,Temp_Air,"Instantaneous drybulb temperature in center hallway, measured at a height of 1.8 m",°C
IndEnv_RoomTempHallLowest,IndEnv,Entry Hallway,Temp_Air,"Instantaneous drybulb temperature in center hallway, measured at a height of 0.6 m",°C
IndEnv_RoomTempHallMiddle,IndEnv,Entry Hallway,Temp_Air,"Instantaneous drybulb temperature in center hallway, measured at a height of 3.0 m",°C
IndEnv_RoomTempHallUpper,IndEnv,Entry Hallway,Temp_Air,"Instantaneous drybulb temperature in center hallway, measured at a height of 5.5 m",°C
IndEnv_RoomTempHallUpperMid,IndEnv,Entry Hallway,Temp_Air,"Instantaneous drybulb temperature in center hallway, measured at a height of 4.3 m",°C
IndEnv_RoomTempKitchenTemp,IndEnv,Kitchen,Temp_Air,Instantaneous drybulb temperature in kitchen,°C
IndEnv_RoomTempLRTemp,IndEnv,Living Room,Temp_Air,Instantaneous drybulb temperature in living room,°C
IndEnv_RoomTempMBATemp,IndEnv,MBath,Temp_Air,Instantaneous drybulb temperature in master bathroom on second floor,°C
IndEnv_RoomTempMBRTemp,IndEnv,Master Bedroom,Temp_Air,Instantaneous drybulb temperature in master bedroom on second floor,°C
IndEnv_RoomTempWDTemp,IndEnv,Kitchen,Temp_Air,Instantaneous drybulb temperature in utility closet holding clothes washer and dryer,°C
Elec_EnergyPlugsInstBR4A,Instr,Bedroom4,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4,Wh
Elec_EnergyPlugsInstBR4B,Instr,Bedroom4,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4,Wh
Elec_EnergyPlugsInstLRA,Instr,Living Room,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room,Wh
Elec_EnergyPlugsInstLRB,Instr,Living Room,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room,Wh
Elec_EnergyPlugsInstBA2,Instr,Bath2,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 2,Wh
Elec_EnergyPlugsInstMBAB,Instr,MBath,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in master bathroom,Wh
Elec_EnergyPlugsGSHPInstrumentation,Instr,Basement,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation connected to ground source heat pump test apparatus,Wh
Elec_EnergyPlugsInstMBRA,Instr,Master Bedroom,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in the master bedroom,Wh
Elec_EnergyPlugsInstBR2Hall,Instr,Bedroom 2,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 2,Wh
Elec_EnergyPlugsInstHall,Instr,Entry Hallway,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in entry hallway,Wh
Elec_EnergyLightingControlPanelRPS1,Instr,Basement,Energy_Electrical,Cumulative energy consumption from midnight by lighting control panel located in basement,Wh
Elec_EnergyPlugsInstBR3,Instr,Bedroom3,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 3,Wh
Elec_EnergyHeatLoadforRefrigerator,Instr,Kitchen,Energy_Thermal,Cumulative heat energy added to compartment of refrigerator to simulate opening and adding warm items,Wh
Elec_EnergyPlugsInstMudroomA,Instr,Mudroom,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom,Wh
Elec_EnergyLightingControlPanelRPS2,Instr,Basement,Energy_Electrical,Cumulative energy consumption from midnight by lighting control panel located in basement,Wh
Elec_EnergyPlugsHVACInstrumentation,Instr,Basement,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation connected to heat pump ,Wh
Elec_EnergyPlugsInstKitD,Instr,Kitchen,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation located in kitchen,Wh
Elec_EnergyPlugsInstBA1,Instr,Bath1,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 1,Wh
Elec_EnergyPlugsInstKitA,Instr,Kitchen,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in kitchen,Wh
Elec_EnergyPlugsInstMudroomB,Instr,Mudroom,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom,Wh
Elec_EnergyPlugsInstDRA,Instr,Dining Room,Energy_Electrical,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in dining room,Wh
Elec_PowerPlugsInstBR4A,Instr,Bedroom4,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4,W
Elec_PowerPlugsInstBR4B,Instr,Bedroom4,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4,W
Elec_PowerPlugsInstLRA,Instr,Living Room,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in living room,W
Elec_PowerPlugsInstLRB,Instr,Living Room,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in living room,W
Elec_PowerPlugsInstBA2,Instr,Bath2,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 2,W
Elec_PowerPlugsInstMBAB,Instr,MBath,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in master bathroom,W
Elec_PowerPlugsGSHPInstrumentation,Instr,Basement,Power_Electrical,Instantaneous power consumption by instrumentation connected to ground source heat pump test apparatus,W
Elec_PowerPlugsInstMBRA,Instr,Master Bedroom,Power_Electrical,Instantaneous power by instrumentation plugged into receptacles in the master bedroom,W
Elec_PowerPlugsInstBR2Hall,Instr,Bedroom 2,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 2,W
Elec_PowerPlugsInstHall,Instr,Entry Hallway,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in entry hallway,W
Elec_PowerLightingControlPanelRPS1,Instr,Basement,Power_Electrical,Instantaneous power consumption by lighting control panel located in basement,W
Elec_PowerPlugsInstBR3,Instr,Bedroom3,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 3,W
Elec_PowerHeatLoadforRefrigerator,Instr,Kitchen,Power_Thermal,Instantaneous power of heat load in refrigerator to simulate opening and adding warm items,W
Elec_PowerPlugsInstMudroomA,Instr,Mudroom,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in mudroom,W
Elec_PowerLightingControlPanelRPS2,Instr,Basement,Power_Electrical,Instantaneous power consumption by lighting control panel located in basement,W
Elec_PowerPlugsHVACInstrumentation,Instr,Basement,Power_Electrical,Instantaneous power consumption by instrumentation connected to heat pump ,W
Elec_PowerPlugsInstKitD,Instr,Kitchen,Power_Electrical,Instantaneous power consumption by instrumentation located in kitchen,W
Elec_PowerPlugsInstBA1,Instr,Bath1,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 1,W
Elec_PowerPlugsInstKitA,Instr,Kitchen,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in kitchen,W
Elec_PowerPlugsInstMudroomB,Instr,Mudroom,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in mudroom,W
Elec_PowerPlugsInstDRA,Instr,Dining Room,Power_Electrical,Instantaneous power consumption by instrumentation plugged into receptacles in dining room,W
Elec_EnergyLightsBasementStair,Lighting,Basement,Energy_Electrical,Cumulative energy consumption of lights over basement stairs from midnight,Wh
Elec_EnergyLights2ndFloor,Lighting,Bath2,Energy_Electrical,Cumulative energy consumption of lighting in bathroom 2 from midnight,Wh
